shop,pref,ward,stations,genre,genres,tabelog_score,awards,feature,source_url
家系総本山 吉村家,神奈川県,横浜中心部,横浜中心部・横浜駅,家系,家系,4.1,,横浜家系の総本山・全国区、西口5分,https://tabelog.com/ramen/kanagawa/A1401/A140101/rank
Homemade Ramen 麦苗,東京都,大田区,大田区・大森駅,醤油（無化調・自家製麺）,醤油・中華そば,4.03,ビブグルマン,全国区の行列名店、丸鶏・魚介・昆布の繊細スープ,https://tabelog.com/tokyo/A1315/A131502/R1901/rstLst/ramen
銀座 八五,東京都,中央区,中央区・新富町駅,醤油（出汁100%・タレ無し）,醤油・中華そば,3.96,ビブグルマン;百名店,ミシュランビブグルマン7年連続＋百名店2025。区内最高評価級（新富町最寄り）,https://tabelog.com/tokyo/A1301/A130101/13228602
宍道湖しじみ中華蕎麦 琥珀 東京本店,東京都,大田区,大田区・雑色駅,しじみ貝出汁（塩）,貝・魚介系/塩,3.96,ビブグルマン;百名店,宍道湖産しじみのコハク酸が滋味、完全予約制／駅5分,https://tabelog.com/tokyo/A1315/A131503/13234195
ジャパニーズ ラーメン 五感,東京都,豊島区,豊島区・池袋駅,醤油（地鶏・貝）,貝・魚介系/醤油・中華そば,3.96,ビブグルマン,エリア1位、ビブグルマン。※完全予約制で来店ハードル高め,https://tabelog.com/tokyo/A1305/A130501/13284009
食堂 たいちゃん,東京都,葛飾区,葛飾区・柴又駅,タンメン中心,ご当地・地域系,3.94,,2023年開業、味噌タンメン・担々麺／柴又1分,https://tabelog.com/tokyo/A1324/A132403/13288591
饗 くろ喜（もてなし くろき）,東京都,台東区,台東区・浅草橋駅,塩そば中心,塩,3.91,,繊細な和風塩、細麺／手揉み麺選択。区内最高評価,https://tabelog.com/tokyo/A1311/A131103/13290780
奈つやの中華そば,東京都,大田区,大田区・下丸子駅・鵜の木駅,煮干醤油 中華そば,煮干し/醤油・中華そば,3.91,,もちもち雲呑・燻製チャーシュー、オンライン順番待ち制／下丸子・鵜の木,https://tabelog.com/tokyo/A1317/A131716/13293385
入鹿TOKYO（IRUCA TOKYO）,東京都,港区,港区・六本木駅,鶏・魚介,貝・魚介系,3.89,百名店,港区最高水準の洗練系、百名店／7番出口2分,https://tabelog.com/tokyo/A1307/A130701/13264260
3931WORKS.,埼玉県,越谷・草加・春日部,越谷・草加・春日部・一ノ割駅,ラーメン・つけ麺,つけ麺,3.88,百名店,栃木の名店出身夫婦、昆布水つけ麺が看板、駅2分,https://tabelog.com/saitama/A1102/A110204/11064224
らーめん MAIKAGURA,東京都,世田谷区,世田谷区・千歳船橋駅,鶏白湯・淡麗,鶏白湯,3.87,百名店,鶏と水のみのクリーミー鶏白湯＋自家製麺／月休,https://tabelog.com/ramen/tokyo/A1318/A131813/rank
創作麺工房 鳴龍（NAKIRYU）,東京都,文京区,文京区・新大塚駅 / 豊島区・新大塚駅,担々麺・醤油,担々麺・四川・麻婆/醤油・中華そば,3.87,ミシュラン星;百名店,ミシュラン一つ星、9時間炊くスープ／北口5分,https://tabelog.com/tokyo/A1323/A132302/13141302
燦燦斗（さんさんと）,東京都,北区,北区・東十条駅,豚骨魚介Wスープ,豚骨・博多/貝・魚介系,3.86,百名店,1日2.5時間営業の超人気店／中十条,https://tabelog.com/tokyo/A1323/A132304/13038064
Tokyo Style Noodle ほたて日和,東京都,千代田区,千代田区・秋葉原駅,つけ麺・まぜそば（帆立）,つけ麺/貝・魚介系/油そば・まぜそば・汁なし,3.86,,帆立出汁の個性派、エリア最上位,https://tabelog.com/ramen/tokyo/A1310/A131001/rank
中華そば 多賀野,東京都,品川区,品川区・中延駅 / 品川区・荏原中延駅,中華そば・つけ麺,つけ麺/醤油・中華そば,3.86,百名店,百名店2025（8年連続）。荏原中延1分／中延からも徒歩圏,https://tabelog.com/tokyo/A1317/A131712/13003421
手打ち 蓮,東京都,墨田区,墨田区・両国駅,手打ち醤油中華そば,醤油・中華そば,3.86,,手打ち手揉み麺、エリア最高評価（両国/森下）,https://tabelog.com/tokyo/A1312/A131201/13278390
味噌っ子 ふっく,東京都,杉並区,杉並区・荻窪駅,味噌,味噌,3.86,百名店,濃厚だが後味すっきり、行列必至,https://tabelog.com/tokyo/A1319/A131906/13226777
Ramen Break Beats,東京都,目黒区,目黒区・祐天寺駅,塩ラーメン・塩つけ麺,つけ麺/塩,3.86,ビブグルマン;百名店,ミネラル感あるクリアな塩、完全予約制／エリア最高,https://tabelog.com/tokyo/A1317/A131701/13267329
麺 みつヰ（みつい）,東京都,台東区,台東区・浅草駅,醤油・自家製麺,醤油・中華そば,3.84,ビブグルマン;百名店,無添加・多加水自家製麺（最寄りは田原町）,https://tabelog.com/tokyo/A1311/A131102/13284327
麺 みつヰ,東京都,台東区,台東区・田原町駅,醤油・自家製麺,醤油・中華そば,3.84,ビブグルマン;百名店,田原町駅至近（浅草から移転後ここが最寄り）,https://tabelog.com/tokyo/A1311/A131102/13284327
自家製中華そば としおか,東京都,新宿区,新宿区・早稲田駅,醤油（中華そば）,醤油・中華そば,3.84,百名店,早稲田を代表する正統派中華そば,https://tabelog.com/ramen/tokyo/A1305/A130504/rank
麺処 懐や（ふところや）,神奈川県,川崎市北部,川崎市北部・鷺沼駅,淡麗系,その他・創作,3.84,百名店,中村屋出身、駅2分、北部最高評価。8年連続百名店・ミシュラン掲載歴,https://tabelog.com/kanagawa/A1405/A140507/14049709
麺処 ほん田 秋葉原本店,東京都,千代田区,千代田区・秋葉原駅,醤油・つけ麺,つけ麺/醤油・中華そば,3.83,百名店,特製醤油そばで連日行列の業界カリスマ店,https://tabelog.com/tokyo/A1310/A131001/13246285
創作麺 ひとすじ,東京都,杉並区,杉並区・方南町駅,煮干し醤油・担々麺,煮干し/担々麺・四川・麻婆/醤油・中華そば,3.83,百名店,駅2分、2025年2月開業・6席の話題店,https://tabelog.com/tokyo/A1319/A131903/13305924
塩そば 時空,東京都,杉並区,杉並区・高井戸駅,塩そば,塩,3.83,ビブグルマン;百名店,「高井戸製麺所」併設、塩の完成形／駅11分,https://tabelog.com/tokyo/A1318/A131806/R5716/rstLst/ramen
